title,url,book_name,books_url,author_name,book_price,star_rating,rating
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Philosopher's Stone,https://www.amazon.in//Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_1318158031_d_sccl_1/000-0000000-0000000?psc=1,J.K. Rowling,₹313.95,4.7,"68,429"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"THE SILENT PATIENT [Paperback] Michaelides, Alex",https://www.amazon.in//Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318158031_d_sccl_2/000-0000000-0000000?psc=1,Alex Michaelides,₹250.88,4.5,"325,888"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,THE LION INSIDE,https://www.amazon.in//LION-INSIDE-Rachel-Bright/dp/1408349043/ref=zg_bs_g_1318158031_d_sccl_3/000-0000000-0000000?psc=1,Rachel Bright,₹254.00,4.7,"8,486"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Housemaid : An addictive psychological thriller with mind-bending twists,https://www.amazon.in//Housemaid-addictive-psychological-thriller-mind-bending/dp/014346115X/ref=zg_bs_g_1318158031_d_sccl_4/000-0000000-0000000?psc=1,Freida McFadden,₹310.00,4.4,"365,191"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"Samsara: Enter the Valley of the Gods (""India's answer to Harry Potter"") | Mythological fiction novel",https://www.amazon.in//Samsara-Valley-Indias-answer-Potter/dp/0143458280/ref=zg_bs_g_1318158031_d_sccl_5/000-0000000-0000000?psc=1,Saksham Garg,₹165.00,4.3,"1,665"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Hidden Hindu Boxset: The Complete Trilogy | Bestselling Sci-fi Novels by Akshat Gupta,https://www.amazon.in//Hidden-Hindu-Boxset-Akshat-Gupta/dp/0143467352/ref=zg_bs_g_1318158031_d_sccl_6/000-0000000-0000000?psc=1,Akshat Gupta,₹489.00,4.5,97
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Hidden Hindu,https://www.amazon.in//Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_1318158031_d_sccl_7/000-0000000-0000000?psc=1,Akshat Gupta,₹169.00,4.5,"4,430"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Stationery Shop of Tehran,https://www.amazon.in//Stationery-Shop-Tehran-Marjan-Kamali/dp/147118501X/ref=zg_bs_g_1318158031_d_sccl_8/000-0000000-0000000?psc=1,Marjan Kamali,₹281.00,4.4,"14,860"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,THE KOALA WHO COULD BOARD BOOK,https://www.amazon.in//KOALA-WHO-COULD-BOARD-BOOK/dp/140835148X/ref=zg_bs_g_1318158031_d_sccl_9/000-0000000-0000000?psc=1,Rachel Bright,₹254.00,4.7,"7,010"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",https://www.amazon.in//Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_g_1318158031_d_sccl_10/000-0000000-0000000?psc=1,Gaur Gopal Das,₹186.00,4.6,"3,994"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Complete Novels of Sherlock Holmes,https://www.amazon.in//Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318158031_d_sccl_11/000-0000000-0000000?psc=1,Arthur Conan Doyle,₹189.00,4.4,"20,996"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"Unusual Tales from Indian Mythology | Sudha Murty’s Bestselling Series | Set of 5 Books | Stories from Mahabharata, Ramayana, & Mythical Characters | Ages 9+",https://www.amazon.in//Unusual-Tales-Indian-Mythology-bestselling/dp/0143458000/ref=zg_bs_g_1318158031_d_sccl_12/000-0000000-0000000?psc=1,Sudha Murty,₹708.00,4.7,430
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Chamber of Secrets,https://www.amazon.in//Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_g_1318158031_d_sccl_13/000-0000000-0000000?psc=1,J.K. Rowling,₹313.95,4.7,"93,398"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"The Naga Warriors 1: Battle of Gokul Vol 1 | From the bestselling author of Hidden Hindu Trilogy, Akshat Gupta",https://www.amazon.in//Naga-Warriors-Battle-bestselling-Trilogy/dp/0143465937/ref=zg_bs_g_1318158031_d_sccl_14/000-0000000-0000000?psc=1,Akshat Gupta,₹175.00,4.6,430
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Hidden Hindu Book 2,https://www.amazon.in//Hidden-Hindu-2-Akshat-Gupta/dp/0143456547/ref=zg_bs_g_1318158031_d_sccl_15/000-0000000-0000000?psc=1,Akshat Gupta,₹168.00,4.6,"2,506"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Hidden Hindu Book 3,https://www.amazon.in//Hidden-Hindu-Book-3/dp/0143456555/ref=zg_bs_g_1318158031_d_sccl_16/000-0000000-0000000?psc=1,Akshat Gupta,₹198.00,4.6,"2,138"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Immortals of Meluha (Shiva Trilogy Book 1),https://www.amazon.in//Immortals-Meluha-Shiva-Trilogy-Book/dp/9356290520/ref=zg_bs_g_1318158031_d_sccl_17/000-0000000-0000000?psc=1,Amish,₹209.00,4.6,"19,755"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Secret Garden,https://www.amazon.in//Secret-Garden-Frances-Hodgson-Burnett/dp/9386538997/ref=zg_bs_g_1318158031_d_sccl_18/000-0000000-0000000?psc=1,Frances Hodgson Burnett,₹149.00,4.4,"21,190"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Goblet of Fire,https://www.amazon.in//Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B019PIOJWW/ref=zg_bs_g_1318158031_d_sccl_19/000-0000000-0000000?psc=1,J.K. Rowling,₹313.95,4.7,"36,983"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,An Eye for an Eye: The gripping new William Warwick crime thriller for 2024 from the Sunday Times bestselling author of TRAITORS GATE,https://www.amazon.in//Eye-gripping-thriller-bestselling-TRAITORS/dp/0008640173/ref=zg_bs_g_1318158031_d_sccl_20/000-0000000-0000000?psc=1,Jeffrey Archer,₹337.60,4.6,"1,662"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Lallan Sweets: Where Food Leads to Love,https://www.amazon.in//Lallan-Sweets-Srishti-Chaudhary/dp/0143450298/ref=zg_bs_g_1318158031_d_sccl_21/000-0000000-0000000?psc=1,Srishti Chaudhary,₹251.05,4.1,319
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,War Of Lanka (Ram Chandra Series Book 4),https://www.amazon.in//War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_g_1318158031_d_sccl_22/000-0000000-0000000?psc=1,Amish Tripathi,₹224.00,4.3,"6,436"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Prisoner of Azkaban,https://www.amazon.in//Harry-Potter-Prisoner-Azkaban-Rowling-ebook/dp/B019PIOJZ4/ref=zg_bs_g_1318158031_d_sccl_23/000-0000000-0000000?psc=1,J.K. Rowling,₹201.40,4.8,"41,504"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"Something I Never Told You [Paperback] Bhinder, Shravya",https://www.amazon.in//Something-I-Never-Told-You/dp/0143445901/ref=zg_bs_g_1318158031_d_sccl_24/000-0000000-0000000?psc=1,Shravya Bhinder,₹157.00,4.4,"3,045"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,STRANGER,https://www.amazon.in//STRANGER-Albert-Camus/dp/0679720200/ref=zg_bs_g_1318158031_d_sccl_25/000-0000000-0000000?psc=1,Albert Camus,₹295.00,4.6,"11,075"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,As Long As the Lemon Trees Grow,https://www.amazon.in//As-Long-Lemon-Trees-Grow/dp/1526648547/ref=zg_bs_g_1318158031_d_sccl_26/000-0000000-0000000?psc=1,Zoulfa Katouh,₹330.00,4.6,"3,540"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Order of the Phoenix,https://www.amazon.in//Harry-Potter-Order-Phoenix-Rowling-ebook/dp/B019PIOJV8/ref=zg_bs_g_1318158031_d_sccl_27/000-0000000-0000000?psc=1,J.K. Rowling,₹313.95,4.7,"34,920"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,My Life in Full,https://www.amazon.in//My-Life-Full-INDRA-NOOYI/dp/9389253837/ref=zg_bs_g_1318158031_d_sccl_28/000-0000000-0000000?psc=1,INDRA NOOYI,₹304.00,4.6,"3,758"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Sunama,https://www.amazon.in//Sunama-Beautiful-Sanskrit-Nityananda-Misra/dp/9390358108/ref=zg_bs_g_1318158031_d_sccl_29/000-0000000-0000000?psc=1,Nityananda Misra,₹271.00,3.5,497
